"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Selected glaciers' mass balance",38100089,153-0102,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810008901",1;2,"CURRENT - a cube available to the public and that is current",Annual,1960-01-01,2007-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Type of measure",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"Helm Glacier - southern Coast Mountains (Garibaldi Provincial Park), British Columbia",[1],1,,,,
1,"Peyto Glacier - Rocky Mountain eastern slopes (Banff National Park), Alberta",[2],2,,,,
1,"Place Glacier - southern Coast Mountains, British Columbia",[3],3,,,,
1,"Devon Ice Cap NW - Devon Island, Nunavut",[4],4,,,,
1,"Meighen Ice Cap - Meighen Island, Nunavut",[5],5,,,,
1,"White Glacier - Axel Heiberg Island, Nunavut",[6],6,,,,
2,"Annual mass balance",,1,,,,
2,"Cumulative mass balance",,2,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
7530,"Natural Resources Canada (Glaciers)"

"Subject Code","Subject Name"
38,Environment

"Note ID",Note
1,"Source: Natural Resources Canada, Glaciology Section - State and Evolution of Canada's Glaciers Initiative."
2,"Figures may not add up to totals due to rounding."

"Correction ID","Correction Date","Correction Note"

